,model_name,EEG_Eye_State_entropic_expressivity,EEG_Eye_State_algorithmic_capacity,EEG_Eye_State_algorithmic_bias_size_1,EEG_Eye_State_algorithmic_bias_size_2,EEG_Eye_State_algorithmic_bias_size_3,EEG_Eye_State_algorithmic_bias_size_4,EEG_Eye_State_algorithmic_bias_size_5,SemiRandom_entropic_expressivity,SemiRandom_algorithmic_capacity,SemiRandom_algorithmic_bias_size_1,SemiRandom_algorithmic_bias_size_2,SemiRandom_algorithmic_bias_size_3,SemiRandom_algorithmic_bias_size_4,SemiRandom_algorithmic_bias_size_5,Shopper_Intention_entropic_expressivity,Shopper_Intention_algorithmic_capacity,Shopper_Intention_algorithmic_bias_size_1,Shopper_Intention_algorithmic_bias_size_2,Shopper_Intention_algorithmic_bias_size_3,Shopper_Intention_algorithmic_bias_size_4,Shopper_Intention_algorithmic_bias_size_5,Abalone_entropic_expressivity,Abalone_algorithmic_capacity,Abalone_algorithmic_bias_size_1,Abalone_algorithmic_bias_size_2,Abalone_algorithmic_bias_size_3,Abalone_algorithmic_bias_size_4,Abalone_algorithmic_bias_size_5,Bank_Marketing_entropic_expressivity,Bank_Marketing_algorithmic_capacity,Bank_Marketing_algorithmic_bias_size_1,Bank_Marketing_algorithmic_bias_size_2,Bank_Marketing_algorithmic_bias_size_3,Bank_Marketing_algorithmic_bias_size_4,Bank_Marketing_algorithmic_bias_size_5,Car_Evaluation_entropic_expressivity,Car_Evaluation_algorithmic_capacity,Car_Evaluation_algorithmic_bias_size_1,Car_Evaluation_algorithmic_bias_size_2,Car_Evaluation_algorithmic_bias_size_3,Car_Evaluation_algorithmic_bias_size_4,Car_Evaluation_algorithmic_bias_size_5,Letter_Recognition_entropic_expressivity,Letter_Recognition_algorithmic_capacity,Letter_Recognition_algorithmic_bias_size_1,Letter_Recognition_algorithmic_bias_size_2,Letter_Recognition_algorithmic_bias_size_3,Letter_Recognition_algorithmic_bias_size_4,Letter_Recognition_algorithmic_bias_size_5,Obesity_entropic_expressivity,Obesity_algorithmic_capacity,Obesity_algorithmic_bias_size_1,Obesity_algorithmic_bias_size_2,Obesity_algorithmic_bias_size_3,Obesity_algorithmic_bias_size_4,Obesity_algorithmic_bias_size_5,Spam_entropic_expressivity,Spam_algorithmic_capacity,Spam_algorithmic_bias_size_1,Spam_algorithmic_bias_size_2,Spam_algorithmic_bias_size_3,Spam_algorithmic_bias_size_4,Spam_algorithmic_bias_size_5,Wine_Quality_entropic_expressivity,Wine_Quality_algorithmic_capacity,Wine_Quality_algorithmic_bias_size_1,Wine_Quality_algorithmic_bias_size_2,Wine_Quality_algorithmic_bias_size_3,Wine_Quality_algorithmic_bias_size_4,Wine_Quality_algorithmic_bias_size_5
0,model_102_Decision_Tree_max_depth_66,3.3667660489079356,2.845005771395782,0.030390000000000018,0.17104000000000003,0.39302000000000004,0.43266000000000004,0.19413,4.691261509281633,4.059328034211446,0.0013100000000000089,-0.00705999999999998,-0.006839999999999984,-0.002959999999999995,-0.0004100000000000002,1.7180024013665656,1.4317533336569415,0.031090000000000013,0.18500000000000003,0.46894,0.6427200000000001,0.41173,3.0915080546691858,2.5990326579920415,0.029430000000000005,0.16384,0.3551,0.35358,0.13983,2.8163102821728914,2.378323885494289,0.030529999999999995,0.17176,0.39562,0.45786000000000004,0.21529,0.8662318234065325,0.7732281208846181,0.03125,0.1874,0.49832,0.79122,0.71707,0.5904362182236839,0.4971667481291973,0.031249999999999997,0.1875,0.49974,0.8024,0.83285,0.6091639932140669,0.5298889352426769,0.03125,0.1875,0.49968,0.7976,0.80203,1.8553541669768758,1.5692360754581534,0.03125000000000001,0.18648,0.48358,0.6797000000000001,0.43661,0.5481640294029206,0.46790071551502393,0.03125,0.1875,0.5,0.8035,0.78131
1,model_102_Decision_Tree_max_depth_61,3.367392661783887,2.8448258347135416,0.03021000000000001,0.17044,0.39176,0.4333,0.19447,4.696295652148205,4.056591945549416,0.0008100000000000096,-0.005579999999999979,-0.003219999999999988,-0.0038999999999999994,-0.00063,1.7089281090205495,1.418130240577384,0.03105,0.18514,0.46976,0.6434,0.41231,3.084966711775789,2.5955954379378636,0.029210000000000014,0.164,0.35474,0.35502,0.14107,2.8195765158419395,2.38284869619601,0.03033000000000001,0.17162000000000002,0.3953,0.45622,0.21487,0.8856373135929575,0.7919571723811377,0.03125,0.18738,0.49836,0.79034,0.71539,0.5718526560490245,0.48652716020029263,0.031249999999999997,0.1875,0.4999,0.80334,0.83745,0.6061190814033716,0.5289403660013942,0.03125,0.1875,0.49968,0.7976800000000001,0.80281,1.866095386124862,1.585781266247559,0.03123000000000002,0.18644000000000002,0.48342,0.6783600000000001,0.43639,0.5456201220442458,0.4632422680510176,0.03125,0.1875,0.5,0.80342,0.78249
2,model_102_Decision_Tree_max_depth_56,3.3683303767287995,2.840164550791037,0.030330000000000017,0.17080000000000004,0.39114000000000004,0.43122000000000005,0.19425,4.690687525475809,4.057778000126281,0.0007900000000000074,-0.0033799999999999807,-0.003639999999999988,-0.003319999999999998,0.0001299999999999998,1.7043877380259183,1.4120727578112173,0.03105000000000001,0.18542000000000003,0.47100000000000003,0.64398,0.41235,3.089127395624619,2.5946159807533284,0.028930000000000004,0.16414,0.35518,0.35258,0.13885,2.816343991468159,2.377854396264126,0.030449999999999998,0.17222,0.39576,0.45732,0.21385,0.8814325552978631,0.7824768226971325,0.03125,0.1874,0.49822,0.79084,0.71425,0.5741508920827184,0.4763901611115382,0.03125,0.1875,0.49986,0.8029000000000001,0.83677,0.607648173914324,0.5239185309100037,0.03125,0.1875,0.4997,0.79812,0.80297,1.8519346876333873,1.570448263423544,0.031230000000000015,0.18616000000000002,0.48378000000000004,0.68022,0.43669,0.5415381932812529,0.4609050748934427,0.03125,0.1875,0.5,0.80352,0.78337
3,model_102_Decision_Tree_max_depth_51,3.367867981930725,2.8409046994436573,0.03043000000000002,0.16998000000000002,0.39216,0.43146,0.19575,4.6910784472413,4.055492786951177,0.0009900000000000087,-0.003539999999999974,-0.005319999999999997,-0.004019999999999998,-0.00015000000000000029,1.7059883911830223,1.4130965133585323,0.03111000000000001,0.18484,0.46982,0.6439400000000001,0.41341,3.0924250287988273,2.5995905141416613,0.02899000000000001,0.16472000000000003,0.35440000000000005,0.35212,0.14035,2.816745363583671,2.384643355128381,0.03041000000000001,0.1721,0.39590000000000003,0.45758000000000004,0.21591,0.8846306000841452,0.7892298845155237,0.03125,0.18738,0.4983,0.79042,0.71295,0.579159306037592,0.4849649337078755,0.031249999999999997,0.1875,0.49982,0.80234,0.83543,0.5976854561364531,0.5218741300188359,0.03125,0.1875,0.49974,0.79818,0.80465,1.8559223310431316,1.571023389619079,0.03123000000000001,0.18666000000000002,0.48384000000000005,0.68074,0.43623,0.5417588684311199,0.4595963775573018,0.03125,0.1875,0.5,0.80328,0.78283
4,model_102_Decision_Tree_max_depth_46,3.3646157044899176,2.836642085469399,0.03045000000000001,0.17076000000000002,0.39132,0.4325,0.19351,4.702660905168378,4.0438930846000005,0.0009300000000000031,-0.00341999999999998,-0.0043999999999999925,-0.0043199999999999975,-0.00051,1.7084781215726403,1.4179544688448125,0.031050000000000008,0.18486000000000002,0.46906000000000003,0.64446,0.41163,3.082105313042605,2.5935115675728353,0.029130000000000007,0.16374000000000002,0.3556,0.3551,0.14089,2.823097103083911,2.3898527063190462,0.03027000000000001,0.17156000000000002,0.3947,0.45572,0.21441,0.8748930747938253,0.7812944834749432,0.03125,0.1874,0.49842,0.79096,0.71591,0.5760631174862004,0.4854678811286726,0.031249999999999997,0.1875,0.4998,0.8025,0.83497,0.5978936730215041,0.5170912257657538,0.03125,0.1875,0.49972,0.79812,0.80409,1.848671164897164,1.563010506935635,0.031190000000000013,0.18650000000000003,0.48398,0.6833,0.43603000000000003,0.5457436853203205,0.46354595695789846,0.03125,0.1875,0.5,0.8034,0.78263
5,model_102_Decision_Tree_max_depth_41,3.3680800237254584,2.8458842856785975,0.030290000000000008,0.17062000000000002,0.39138,0.4315,0.19405,4.694174530377752,4.050280235969172,0.0013500000000000068,-0.004439999999999977,-0.002579999999999987,-0.00398,0.00035000000000000027,1.7149065236144403,1.418684292529682,0.031050000000000008,0.1852,0.47030000000000005,0.64318,0.41201,3.0864697299904766,2.5896954498828335,0.029130000000000007,0.16334,0.3543,0.35484,0.13987,2.8274753006361952,2.3896817377193362,0.030370000000000005,0.17176000000000002,0.39336000000000004,0.45744,0.21221,0.8692711112431505,0.7779192682563743,0.03125,0.18736,0.49844,0.7907,0.71975,0.5788151466569994,0.485652367183523,0.031249999999999997,0.1875,0.4998,0.8025,0.83503,0.60375698424442,0.5241121909876314,0.03125,0.1875,0.49964,0.79816,0.80421,1.8536872619766798,1.5757314114541456,0.031210000000000005,0.18652000000000002,0.48344000000000004,0.6805800000000001,0.43737,0.5485261067208611,0.46786533498885485,0.03125,0.1875,0.5,0.8035,0.78263
6,model_102_Decision_Tree_max_depth_36,3.3670724807633445,2.8468922891777955,0.03063000000000002,0.17130000000000004,0.39118,0.43302,0.19345,4.700359368960468,4.059477967348986,0.0006300000000000072,-0.0032799999999999774,-0.002859999999999988,-0.0019399999999999975,-0.00045000000000000004,1.7117565274724218,1.4173261687210252,0.031010000000000003,0.18486,0.4702,0.64336,0.41001,3.083087055482325,2.5892408351216094,0.029290000000000004,0.16394,0.35474,0.35626,0.14169,2.821229408479718,2.387457718536259,0.030390000000000014,0.17126000000000002,0.39312,0.45618000000000003,0.21391,0.8762619845142957,0.7811561564331109,0.03125,0.18736,0.4983,0.79082,0.71655,0.590776102588183,0.4973806828887535,0.031249999999999997,0.1875,0.49982,0.80266,0.83353,0.5983299849631148,0.5209253481569767,0.03125,0.1875,0.49976,0.79812,0.80393,1.8439456179875509,1.561026006086204,0.03125000000000001,0.1864,0.48426,0.68196,0.43693,0.5441379995098311,0.4637637081215016,0.03125,0.1875,0.5,0.80394,0.78401
7,model_102_Decision_Tree_max_depth_31,3.3645078656181364,2.8444331224238364,0.030550000000000015,0.17030000000000003,0.39312,0.43272000000000005,0.19449,4.694848224663832,4.05857096001405,-9.999999999985576e-06,-0.0051199999999999805,-0.005359999999999982,-0.003139999999999997,0.00045000000000000026,1.705749920535611,1.419241705350379,0.03109000000000001,0.18534,0.47040000000000004,0.64308,0.41373,3.07771839290784,2.5846615296453006,0.029090000000000008,0.16352000000000003,0.35434000000000004,0.3551,0.14027,2.8196858356874475,2.3808796197464117,0.03027,0.17146,0.39512,0.45646000000000003,0.21451,0.8860541526724148,0.7934546960309172,0.03125000000000001,0.18736,0.49832,0.79026,0.71341,0.580140168129947,0.4922226024981974,0.031249999999999997,0.1875,0.49988,0.80276,0.83571,0.5944069041319463,0.5164245428028008,0.03125,0.1875,0.49978,0.7984,0.80605,1.8578640876502064,1.5717905355967765,0.03125000000000001,0.18656,0.48340000000000005,0.68072,0.43729,0.544283615267922,0.4650248703556313,0.03125,0.1875,0.5,0.80346,0.78329
8,model_102_Decision_Tree_max_depth_26,3.370800262411899,2.8474603900076727,0.030510000000000023,0.17018000000000003,0.39148000000000005,0.43202,0.19367,4.696760381439858,4.047484910146347,0.0009300000000000131,-0.004039999999999972,-0.006399999999999986,-0.0037399999999999985,-0.0003300000000000002,1.705728858446107,1.415287428692847,0.031030000000000005,0.18498,0.4703,0.6429,0.41199,3.0762452857363227,2.579516525838779,0.02921000000000001,0.16426000000000002,0.35528000000000004,0.35496,0.13919,2.819202582507628,2.3832338834313282,0.030410000000000003,0.17182,0.39478,0.4565,0.21569,0.8774929264671846,0.7784783809747278,0.03125,0.18736,0.4984,0.79102,0.71701,0.5829335322179842,0.4891869388632698,0.031249999999999997,0.1875,0.49985999999999997,0.802,0.83331,0.6014854942090322,0.5208463428940097,0.03125,0.1875,0.49974,0.79834,0.80445,1.8579653142992392,1.5788200912759707,0.031250000000000014,0.18656000000000003,0.48376,0.68066,0.43631,0.5387951263355829,0.459364397566879,0.03125,0.1875,0.5,0.80366,0.7841899999999999
9,model_102_Decision_Tree_max_depth_21,3.3635538971389836,2.8461915865270924,0.03055000000000001,0.17088,0.39334,0.43214,0.19417,4.699790116505451,4.049709758349815,0.0008700000000000063,-0.0035999999999999765,-0.0037199999999999876,-0.005799999999999995,-0.0002499999999999999,1.7068665890992751,1.4180227428356575,0.031110000000000006,0.18510000000000001,0.47022,0.64408,0.41255000000000003,3.085957165482691,2.5827108014842755,0.02903000000000001,0.16410000000000002,0.35316000000000003,0.35404,0.14003,2.8176893584733174,2.37973903768523,0.03037,0.1723,0.39614,0.45798,0.21533,0.8852849748598073,0.7831965019987643,0.03125,0.18738,0.49846,0.7907,0.71553,0.5697566304542554,0.47926605919282655,0.031249999999999997,0.1875,0.49988,0.80292,0.83667,0.5932537903343501,0.5153969735169468,0.03125,0.1875,0.4996,0.79778,0.8053899999999999,1.8495821019065548,1.5700783467782125,0.03125000000000002,0.18662000000000004,0.48392,0.6806800000000001,0.43639,0.5482094977798898,0.46677267835815117,0.03125,0.1875,0.5,0.80304,0.78219
