dataset,r2,rmse,a_fit,b_fit,c_fit
EEG Eye State,0.9848957010277606,0.0220741365066534,1.4186886591124461,0.2497280850469943,0.8942922603564983
Random,0.0,0.27579486429832084,48.5590935046463,53.643321765365336,3.503901983040581
Shopper's Intention,0.8453128545946931,0.030701264404239797,43.76918577540148,4.556142802996998,0.4120774576027953
Shopper's Intention (Balanced),0.9994329523379645,0.00238938772031733,0.9453358251860913,0.39195640099238843,0.02351339568017304
Abalone,0.2595554422208376,0.07145546129049277,23.56828602735574,4.465629253018852,1.3616935636518446
Bank Marketing,0.9907149310899631,0.015821843763839622,1.283448340591718,0.2401272542663134,0.733509192705289
Car Evaluation,0.6413141147736116,0.01810681050064377,0.2554729968179942,0.5002701575004925,0.39631261562873654
Letter Recognition,0.9810906908853475,0.0058569257123471915,0.5073179823434996,0.6296799740113256,0.18969234162105397
Obesity,0.9944374113896667,0.008519354900719223,1.0487058033305399,0.37047934920310505,0.29711009724169646
Spam,0.9931997268058201,0.010611966631630743,1.073642815526069,0.28848868331038136,0.31009311270661655
Wine Quality,0.9949480272031299,0.003357054803837761,0.394572866016612,0.28884125123228105,0.06351306210644128
