dataset,r2,rmse,a_fit,b_fit,c_fit
EEG Eye State,0.9599917703253413,0.09470671162191578,2.6690867927693565,0.0944697396181241,1.3345644508746048
Random,0.8518682941079994,0.029293229057252155,0.29030591986932647,0.03240572789907132,4.446762054256888
Shopper's Intention,0.9662683346439597,0.04239905377470311,1.775820770035485,0.23765759710450157,0.6237317667832433
Shopper's Intention (Balanced),0.9981431304532377,0.009345234460775804,1.9850650469926014,0.3660462260571186,0.04110272708358785
Abalone,0.9523544303197795,0.059294521986187856,1.6580983354774796,0.12116300089763424,1.7980359907925827
Bank Marketing,0.970940043202815,0.07622951747904148,2.6273517037664607,0.10505889369318618,1.0761347232162022
Car Evaluation,0.9891953879296453,0.014230483143317351,0.9699230744438103,0.17930987226519185,0.4893201645830945
Letter Recognition,0.9724419128937182,0.023052264605389155,1.0846043925410438,0.24621600602399732,0.25008295131223973
Obesity,0.9859013307249364,0.03554632425510292,2.301205324637844,0.23021455485264106,0.40706252084951927
Spam,0.9689364894140317,0.05988335844233753,2.3209413787520226,0.165681373933739,0.47158603809962046
Wine Quality,0.9844983061869825,0.016690964077144783,1.041640540011281,0.23815029487538608,0.09358464100872353
