dataset,r2,rmse,a_fit,b_fit,c_fit
EEG Eye State,0.9615534316082129,0.0625347999008697,1.4096220526536045,0.04463815202480471,0.39434007688525674
Random,0.9889574122109945,0.03632801978978095,1.3225025497739002,0.021667184570269872,0.6787820046855395
Shopper's Intention,0.9143378442075062,0.051722650442092906,0.95735007619522,0.09024437762596041,0.1902910797891422
Shopper's Intention (Balanced),0.9956566593956951,0.007687484500156545,1.0415837655525917,0.34497005987064255,0.017547266930235318
Abalone,0.9558501216187262,0.05829105034308266,1.218305435649084,0.044122465301941576,0.3632025623465173
Bank Marketing,0.9632697583628359,0.05772890008477483,1.434483014880516,0.056582865458619604,0.31370926150401784
Car Evaluation,0.9617067017214063,0.023153089165357195,0.7211908196707171,0.11890942172158502,0.08730534784489476
Letter Recognition,0.9514848387471041,0.02183532079047428,0.6776029957394515,0.17062296227626148,0.05838263010430627
Obesity,0.9609186491712656,0.037611020670051926,1.2802254000119249,0.1603194320016428,0.10587842241313686
Spam,0.9497873319567671,0.048599626699559376,1.274857482687642,0.10870451590622664,0.1542574085825844
Wine Quality,0.9754685365170097,0.013651384918710905,0.6484366691334266,0.2121890986513784,0.02983391698096553
