dataset,r2,rmse,a_fit,b_fit,c_fit
EEG Eye State,0.9616,0.0625,1.41±0.05,0.04±0.00,0.39±0.01
Random,0.9890,0.0363,1.32±0.02,0.02±0.00,0.68±0.01
Shopper's Intention,0.9143,0.0517,0.96±0.06,0.09±0.01,0.19±0.01
Shopper's Intention (Balanced),0.9957,0.0077,1.04±0.02,0.34±0.01,0.02±0.00
Abalone,0.9559,0.0583,1.22±0.05,0.04±0.00,0.36±0.01
Bank Marketing,0.9633,0.0577,1.43±0.06,0.06±0.00,0.31±0.01
Car Evaluation,0.9617,0.0232,0.72±0.03,0.12±0.01,0.09±0.00
Letter Recognition,0.9515,0.0218,0.68±0.03,0.17±0.01,0.06±0.00
Obesity,0.9609,0.0376,1.28±0.05,0.16±0.01,0.11±0.01
Spam,0.9498,0.0486,1.27±0.06,0.11±0.01,0.15±0.01
Wine Quality,0.9755,0.0137,0.65±0.02,0.21±0.01,0.03±0.00
